cell_id,true_state,true_branch,true_pseudotime,spatial_x,spatial_y,true_spatial_domain
CELL_0411,transition_state,transition,0.5286,1.0959,-0.1062,central_transition_region
CELL_0823,branch_b_terminal,branch_b,0.8469,2.8008,-0.8662,lower_terminal_region
CELL_0720,branch_b_terminal,branch_b,0.6394,2.7025,-0.9971,lower_terminal_region
CELL_0264,transition_state,transition,0.2931,0.5086,-0.7297,left_progenitor_region
CELL_0692,branch_b_terminal,branch_b,0.5768,2.3607,-0.7926,lower_terminal_region
CELL_0617,branch_a_terminal,branch_a,0.9135,2.9564,1.2539,upper_terminal_region
CELL_0703,branch_b_terminal,branch_b,0.5889,2.6827,-0.8807,lower_terminal_region
CELL_0355,transition_state,transition,0.4356,0.4924,-0.0526,left_progenitor_region
CELL_0018,root_progenitor,root,0.0296,0.1087,-0.094,left_progenitor_region
CELL_0844,branch_b_terminal,branch_b,0.894,3.0287,-1.2162,lower_terminal_region
CELL_0342,transition_state,transition,0.4415,0.4648,0.1401,left_progenitor_region
CELL_0083,root_progenitor,root,0.0701,0.1099,0.131,left_progenitor_region
CELL_0061,root_progenitor,root,0.0507,0.018,0.1035,left_progenitor_region
CELL_0272,transition_state,transition,0.2759,0.4075,-0.2729,left_progenitor_region
CELL_0285,transition_state,transition,0.3362,0.6611,0.2959,left_progenitor_region
CELL_0362,transition_state,transition,0.4549,0.685,0.138,left_progenitor_region
CELL_0889,branch_b_terminal,branch_b,0.9726,2.785,-1.3681,lower_terminal_region
CELL_0012,root_progenitor,root,0.0119,0.5323,-0.3219,left_progenitor_region
CELL_0182,root_progenitor,root,0.16,0.1786,0.4993,left_progenitor_region
CELL_0388,transition_state,transition,0.5137,0.5495,-0.1853,left_progenitor_region
CELL_0721,branch_b_terminal,branch_b,0.6375,1.9916,-0.994,transition_ring_region
CELL_0223,transition_state,transition,0.2001,0.0586,-0.0814,left_progenitor_region
CELL_0558,branch_a_terminal,branch_a,0.7973,2.4848,1.2381,upper_terminal_region
CELL_0633,branch_a_terminal,branch_a,0.9117,2.8891,1.1641,upper_terminal_region
CELL_0644,branch_a_terminal,branch_a,0.9803,2.9824,1.8706,upper_terminal_region
CELL_0530,branch_a_terminal,branch_a,0.7074,2.7658,0.7816,upper_terminal_region
CELL_0527,branch_a_terminal,branch_a,0.7438,2.4338,1.141,upper_terminal_region
CELL_0636,branch_a_terminal,branch_a,0.9833,2.9907,1.7337,upper_terminal_region
CELL_0176,root_progenitor,root,0.1844,0.0655,-0.2249,left_progenitor_region
CELL_0604,branch_a_terminal,branch_a,0.8828,2.868,1.3713,upper_terminal_region
CELL_0446,branch_a_terminal,branch_a,0.5345,2.0595,0.7287,transition_ring_region
CELL_0420,branch_a_terminal,branch_a,0.515,2.0197,0.6476,transition_ring_region
CELL_0163,root_progenitor,root,0.1365,0.0508,-0.2521,left_progenitor_region
CELL_0248,transition_state,transition,0.2424,0.6221,0.1059,left_progenitor_region
CELL_0740,branch_b_terminal,branch_b,0.6457,2.3657,-0.8104,lower_terminal_region
CELL_0793,branch_b_terminal,branch_b,0.7812,2.7401,-1.0022,lower_terminal_region
CELL_0074,root_progenitor,root,0.0697,0.0506,0.2111,left_progenitor_region
CELL_0113,root_progenitor,root,0.0815,0.2668,-0.0829,left_progenitor_region
CELL_0514,branch_a_terminal,branch_a,0.7253,2.5675,1.2626,upper_terminal_region
CELL_0495,branch_a_terminal,branch_a,0.6848,2.4052,1.2818,upper_terminal_region
CELL_0104,root_progenitor,root,0.081,-0.3455,0.0982,left_progenitor_region
CELL_0114,root_progenitor,root,0.1052,0.2786,0.0958,left_progenitor_region
CELL_0450,branch_a_terminal,branch_a,0.5653,2.1653,0.8759,transition_ring_region
CELL_0092,root_progenitor,root,0.0777,0.1303,-0.0665,left_progenitor_region
CELL_0797,branch_b_terminal,branch_b,0.7882,2.9522,-0.7402,lower_terminal_region
CELL_0089,root_progenitor,root,0.088,0.1325,-0.1762,left_progenitor_region
CELL_0336,transition_state,transition,0.3876,0.7245,0.0361,left_progenitor_region
CELL_0888,branch_b_terminal,branch_b,0.9862,3.4827,-1.3775,lower_terminal_region
CELL_0824,branch_b_terminal,branch_b,0.8323,2.4841,-1.1485,lower_terminal_region
CELL_0835,branch_b_terminal,branch_b,0.8751,3.3799,-1.1847,lower_terminal_region
CELL_0547,branch_a_terminal,branch_a,0.7494,2.8685,1.2498,upper_terminal_region
CELL_0552,branch_a_terminal,branch_a,0.768,2.4792,1.1232,upper_terminal_region
CELL_0094,root_progenitor,root,0.0605,-0.4983,-0.3241,left_progenitor_region
CELL_0011,root_progenitor,root,0.0217,-0.4394,-0.3668,left_progenitor_region
CELL_0898,branch_b_terminal,branch_b,0.9882,3.273,-1.4531,lower_terminal_region
CELL_0043,root_progenitor,root,0.0428,-0.0836,0.325,left_progenitor_region
CELL_0042,root_progenitor,root,0.0284,-0.0153,-0.2632,left_progenitor_region
CELL_0329,transition_state,transition,0.4169,0.5198,0.2871,left_progenitor_region
CELL_0167,root_progenitor,root,0.1583,-0.0218,-0.0768,left_progenitor_region
CELL_0785,branch_b_terminal,branch_b,0.7538,2.5662,-1.2174,lower_terminal_region
CELL_0541,branch_a_terminal,branch_a,0.7101,2.6636,0.8028,upper_terminal_region
CELL_0722,branch_b_terminal,branch_b,0.6585,2.6109,-1.1816,lower_terminal_region
CELL_0848,branch_b_terminal,branch_b,0.8822,3.1885,-1.266,lower_terminal_region
CELL_0178,root_progenitor,root,0.1608,0.334,0.312,left_progenitor_region
CELL_0587,branch_a_terminal,branch_a,0.8632,3.0147,1.3124,upper_terminal_region
CELL_0790,branch_b_terminal,branch_b,0.7778,3.0745,-1.343,lower_terminal_region
CELL_0597,branch_a_terminal,branch_a,0.826,2.9121,1.1006,upper_terminal_region
CELL_0177,root_progenitor,root,0.164,0.0475,-0.3637,left_progenitor_region
CELL_0695,branch_b_terminal,branch_b,0.5756,2.3557,-0.6351,lower_terminal_region
CELL_0715,branch_b_terminal,branch_b,0.6261,2.197,-1.2497,central_transition_region
CELL_0717,branch_b_terminal,branch_b,0.6342,2.2969,-0.9344,lower_terminal_region
CELL_0383,transition_state,transition,0.4549,0.6255,0.0731,left_progenitor_region
CELL_0257,transition_state,transition,0.2506,0.4317,0.1179,left_progenitor_region
CELL_0442,branch_a_terminal,branch_a,0.5158,2.4076,0.7264,upper_terminal_region
CELL_0335,transition_state,transition,0.4053,0.5007,0.0017,left_progenitor_region
CELL_0716,branch_b_terminal,branch_b,0.6102,2.3946,-0.922,lower_terminal_region
CELL_0015,root_progenitor,root,0.0008,-0.0921,0.0854,left_progenitor_region
CELL_0003,root_progenitor,root,0.0168,0.6294,0.4692,left_progenitor_region
CELL_0662,branch_b_terminal,branch_b,0.5046,1.8903,-0.7101,transition_ring_region
CELL_0256,transition_state,transition,0.2285,0.5525,0.3295,left_progenitor_region
CELL_0456,branch_a_terminal,branch_a,0.5517,2.282,0.8249,upper_terminal_region
CELL_0478,branch_a_terminal,branch_a,0.5991,2.9008,0.5432,upper_terminal_region
CELL_0773,branch_b_terminal,branch_b,0.7487,2.5719,-1.2146,lower_terminal_region
CELL_0393,transition_state,transition,0.4986,0.6196,-0.1759,left_progenitor_region
CELL_0222,transition_state,transition,0.19,0.1601,0.1662,left_progenitor_region
CELL_0529,branch_a_terminal,branch_a,0.7424,2.7546,0.846,upper_terminal_region
CELL_0457,branch_a_terminal,branch_a,0.5675,1.9577,0.5987,transition_ring_region
CELL_0424,branch_a_terminal,branch_a,0.5076,2.5163,0.7879,upper_terminal_region
CELL_0324,transition_state,transition,0.388,0.8422,-0.0155,central_transition_region
CELL_0534,branch_a_terminal,branch_a,0.7381,2.6385,1.1147,upper_terminal_region
CELL_0009,root_progenitor,root,0.0,-0.2656,-0.1324,left_progenitor_region
CELL_0249,transition_state,transition,0.2446,0.6124,-0.3762,left_progenitor_region
CELL_0022,root_progenitor,root,0.0384,0.1179,0.2532,left_progenitor_region
CELL_0356,transition_state,transition,0.4541,0.5577,0.2763,left_progenitor_region
CELL_0221,transition_state,transition,0.2015,0.2917,0.0168,left_progenitor_region
CELL_0605,branch_a_terminal,branch_a,0.8914,3.1354,1.2247,upper_terminal_region
CELL_0772,branch_b_terminal,branch_b,0.7363,2.7837,-0.5837,lower_terminal_region
CELL_0883,branch_b_terminal,branch_b,0.9756,3.0664,-1.5177,lower_terminal_region
CELL_0532,branch_a_terminal,branch_a,0.7404,2.8543,1.1301,upper_terminal_region
CELL_0340,transition_state,transition,0.4103,0.8188,0.1228,central_transition_region
CELL_0749,branch_b_terminal,branch_b,0.6833,2.3743,-0.9071,lower_terminal_region
CELL_0523,branch_a_terminal,branch_a,0.7284,2.5118,1.1446,upper_terminal_region
CELL_0203,root_progenitor,root,0.195,-0.1029,0.3407,left_progenitor_region
CELL_0237,transition_state,transition,0.2362,0.2982,0.2099,left_progenitor_region
CELL_0093,root_progenitor,root,0.0837,-0.0294,0.2074,left_progenitor_region
CELL_0538,branch_a_terminal,branch_a,0.7512,2.379,1.0889,upper_terminal_region
CELL_0445,branch_a_terminal,branch_a,0.5561,1.9099,0.6892,transition_ring_region
CELL_0682,branch_b_terminal,branch_b,0.5525,2.3111,-0.6709,lower_terminal_region
CELL_0284,transition_state,transition,0.2987,0.3936,-0.0966,left_progenitor_region
CELL_0184,root_progenitor,root,0.1745,0.0589,0.4028,left_progenitor_region
CELL_0799,branch_b_terminal,branch_b,0.8024,2.6556,-0.9572,lower_terminal_region
CELL_0434,branch_a_terminal,branch_a,0.5199,1.7169,0.9034,transition_ring_region
CELL_0735,branch_b_terminal,branch_b,0.6657,2.2443,-1.0462,lower_terminal_region
CELL_0153,root_progenitor,root,0.1324,0.3638,0.0329,left_progenitor_region
CELL_0075,root_progenitor,root,0.0789,0.0029,0.3322,left_progenitor_region
CELL_0879,branch_b_terminal,branch_b,0.946,3.0451,-1.329,lower_terminal_region
CELL_0554,branch_a_terminal,branch_a,0.7523,2.4714,1.6903,upper_terminal_region
CELL_0277,transition_state,transition,0.3105,0.2859,-0.2083,left_progenitor_region
CELL_0068,root_progenitor,root,0.075,0.0586,0.0676,left_progenitor_region
CELL_0568,branch_a_terminal,branch_a,0.8095,2.7154,1.1846,upper_terminal_region
CELL_0188,root_progenitor,root,0.1512,-0.1301,0.2032,left_progenitor_region
CELL_0271,transition_state,transition,0.3002,0.2699,-0.0219,left_progenitor_region
CELL_0667,branch_b_terminal,branch_b,0.5031,1.9222,-0.9635,transition_ring_region
CELL_0559,branch_a_terminal,branch_a,0.7696,2.4689,1.4469,upper_terminal_region
CELL_0236,transition_state,transition,0.2639,0.3223,0.0077,left_progenitor_region
CELL_0088,root_progenitor,root,0.0876,0.19,0.0573,left_progenitor_region
CELL_0792,branch_b_terminal,branch_b,0.7898,2.7175,-1.2076,lower_terminal_region
CELL_0117,root_progenitor,root,0.1072,0.0173,0.04,left_progenitor_region
CELL_0125,root_progenitor,root,0.1195,0.0869,-0.1018,left_progenitor_region
CELL_0737,branch_b_terminal,branch_b,0.6339,2.3237,-1.4388,lower_terminal_region
CELL_0289,transition_state,transition,0.3046,0.4804,0.1648,left_progenitor_region
CELL_0238,transition_state,transition,0.2375,0.2345,-0.1725,left_progenitor_region
CELL_0000,root_progenitor,root,0.0046,-0.056,0.0606,left_progenitor_region
CELL_0890,branch_b_terminal,branch_b,0.993,3.4312,-1.5339,lower_terminal_region
CELL_0601,branch_a_terminal,branch_a,0.8841,3.2275,1.5309,upper_terminal_region
CELL_0855,branch_b_terminal,branch_b,0.9087,2.6656,-1.1983,lower_terminal_region
CELL_0395,transition_state,transition,0.4944,0.9012,-0.0978,central_transition_region
CELL_0535,branch_a_terminal,branch_a,0.7461,2.6231,1.1129,upper_terminal_region
CELL_0126,root_progenitor,root,0.137,-0.0711,0.0463,left_progenitor_region
CELL_0278,transition_state,transition,0.2967,0.644,-0.0825,left_progenitor_region
CELL_0696,branch_b_terminal,branch_b,0.5749,2.5053,-0.9477,lower_terminal_region
CELL_0116,root_progenitor,root,0.1094,0.4878,0.5192,left_progenitor_region
CELL_0228,transition_state,transition,0.2062,0.3071,-0.0442,left_progenitor_region
CELL_0813,branch_b_terminal,branch_b,0.8249,2.8009,-1.3117,lower_terminal_region
CELL_0660,branch_b_terminal,branch_b,0.5026,2.1242,-0.9075,transition_ring_region
CELL_0057,root_progenitor,root,0.0745,0.0082,-0.3041,left_progenitor_region
CELL_0784,branch_b_terminal,branch_b,0.7552,2.7939,-1.1296,lower_terminal_region
CELL_0274,transition_state,transition,0.2918,0.6041,0.0069,left_progenitor_region
CELL_0318,transition_state,transition,0.382,0.5999,0.0822,left_progenitor_region
CELL_0630,branch_a_terminal,branch_a,0.941,2.8514,1.6168,upper_terminal_region
CELL_0144,root_progenitor,root,0.1193,-0.1399,0.1163,left_progenitor_region
CELL_0713,branch_b_terminal,branch_b,0.6049,1.8869,-0.6134,transition_ring_region
CELL_0595,branch_a_terminal,branch_a,0.8649,2.7744,1.3435,upper_terminal_region
CELL_0816,branch_b_terminal,branch_b,0.8301,2.8751,-1.216,lower_terminal_region
CELL_0781,branch_b_terminal,branch_b,0.7274,2.5694,-1.3289,lower_terminal_region
CELL_0369,transition_state,transition,0.4653,0.2568,-0.2835,left_progenitor_region
CELL_0268,transition_state,transition,0.2811,0.3345,0.4486,left_progenitor_region
CELL_0628,branch_a_terminal,branch_a,0.9137,2.887,1.5757,upper_terminal_region
CELL_0307,transition_state,transition,0.3608,0.4461,-0.0003,left_progenitor_region
CELL_0423,branch_a_terminal,branch_a,0.4996,1.6776,0.7407,transition_ring_region
CELL_0310,transition_state,transition,0.3585,0.3658,0.1948,left_progenitor_region
CELL_0354,transition_state,transition,0.4089,0.5694,-0.4195,left_progenitor_region
CELL_0046,root_progenitor,root,0.0551,0.436,0.1097,left_progenitor_region
CELL_0349,transition_state,transition,0.4246,0.7003,-0.1977,left_progenitor_region
CELL_0371,transition_state,transition,0.4569,0.6395,-0.3015,left_progenitor_region
CELL_0479,branch_a_terminal,branch_a,0.6413,2.4756,0.8099,upper_terminal_region
CELL_0580,branch_a_terminal,branch_a,0.8315,2.4077,1.4011,upper_terminal_region
CELL_0261,transition_state,transition,0.2684,0.491,0.2401,left_progenitor_region
CELL_0195,root_progenitor,root,0.1647,-0.2586,0.0588,left_progenitor_region
CELL_0899,branch_b_terminal,branch_b,0.9777,3.2296,-1.639,lower_terminal_region
CELL_0750,branch_b_terminal,branch_b,0.6832,2.4137,-0.8287,lower_terminal_region
CELL_0107,root_progenitor,root,0.0926,0.2321,-0.1513,left_progenitor_region
CELL_0875,branch_b_terminal,branch_b,0.9219,2.8168,-1.7625,lower_terminal_region
CELL_0059,root_progenitor,root,0.0684,0.2888,0.1522,left_progenitor_region
CELL_0691,branch_b_terminal,branch_b,0.5915,2.5223,-0.8319,lower_terminal_region
CELL_0263,transition_state,transition,0.2748,0.4726,-0.5861,left_progenitor_region
CELL_0572,branch_a_terminal,branch_a,0.7945,2.7663,0.8075,upper_terminal_region
CELL_0100,root_progenitor,root,0.0857,0.023,-0.2093,left_progenitor_region
CELL_0443,branch_a_terminal,branch_a,0.5601,1.876,0.6794,transition_ring_region
CELL_0490,branch_a_terminal,branch_a,0.6183,2.066,1.028,transition_ring_region
CELL_0611,branch_a_terminal,branch_a,0.9072,2.9045,1.3811,upper_terminal_region
CELL_0806,branch_b_terminal,branch_b,0.8385,2.888,-1.0968,lower_terminal_region
CELL_0798,branch_b_terminal,branch_b,0.7919,2.7178,-1.6264,lower_terminal_region
CELL_0169,root_progenitor,root,0.1537,-0.3111,-0.2222,left_progenitor_region
CELL_0179,root_progenitor,root,0.1678,-0.0631,0.0909,left_progenitor_region
CELL_0304,transition_state,transition,0.3492,0.523,0.2091,left_progenitor_region
CELL_0341,transition_state,transition,0.4116,0.7251,0.1039,left_progenitor_region
CELL_0867,branch_b_terminal,branch_b,0.926,3.2653,-1.1476,lower_terminal_region
CELL_0149,root_progenitor,root,0.1384,0.2245,0.4072,left_progenitor_region
CELL_0124,root_progenitor,root,0.1258,0.2765,-0.2405,left_progenitor_region
CELL_0708,branch_b_terminal,branch_b,0.6035,2.27,-0.8243,lower_terminal_region
CELL_0050,root_progenitor,root,0.05,0.1956,-0.0477,left_progenitor_region
CELL_0353,transition_state,transition,0.4398,0.9785,-0.0197,central_transition_region
CELL_0830,branch_b_terminal,branch_b,0.8547,2.9521,-1.2728,lower_terminal_region
CELL_0142,root_progenitor,root,0.0977,-0.7411,-0.1359,left_progenitor_region
CELL_0470,branch_a_terminal,branch_a,0.5869,2.2802,1.1069,upper_terminal_region
CELL_0399,transition_state,transition,0.5098,0.5495,0.265,left_progenitor_region
CELL_0851,branch_b_terminal,branch_b,0.8834,2.926,-1.2842,lower_terminal_region
CELL_0320,transition_state,transition,0.3946,0.5643,0.2908,left_progenitor_region
CELL_0019,root_progenitor,root,0.0166,-0.0335,-0.3437,left_progenitor_region
CELL_0811,branch_b_terminal,branch_b,0.851,2.8294,-1.6365,lower_terminal_region
CELL_0712,branch_b_terminal,branch_b,0.6187,1.8844,-0.8247,transition_ring_region
CELL_0728,branch_b_terminal,branch_b,0.6438,2.4464,-0.9009,lower_terminal_region
CELL_0407,transition_state,transition,0.5417,0.8714,-0.1585,central_transition_region
CELL_0821,branch_b_terminal,branch_b,0.8318,2.7659,-1.0903,lower_terminal_region
CELL_0038,root_progenitor,root,0.0223,0.074,-0.093,left_progenitor_region
CELL_0175,root_progenitor,root,0.1624,-0.362,-0.017,left_progenitor_region
CELL_0245,transition_state,transition,0.2368,0.2199,0.0794,left_progenitor_region
CELL_0746,branch_b_terminal,branch_b,0.6944,2.1957,-0.9798,transition_ring_region
CELL_0606,branch_a_terminal,branch_a,0.924,2.9096,1.1471,upper_terminal_region
CELL_0679,branch_b_terminal,branch_b,0.573,2.4774,-0.7493,lower_terminal_region
CELL_0770,branch_b_terminal,branch_b,0.7331,2.6267,-0.9853,lower_terminal_region
CELL_0154,root_progenitor,root,0.1398,0.0646,0.3912,left_progenitor_region
CELL_0287,transition_state,transition,0.3293,0.4743,0.0705,left_progenitor_region
CELL_0544,branch_a_terminal,branch_a,0.7331,2.5145,1.2783,upper_terminal_region
CELL_0017,root_progenitor,root,0.0011,-0.0613,0.1943,left_progenitor_region
CELL_0127,root_progenitor,root,0.0982,0.1548,-0.0848,left_progenitor_region
CELL_0322,transition_state,transition,0.3905,0.4698,-0.0121,left_progenitor_region
CELL_0255,transition_state,transition,0.2498,0.3758,0.0897,left_progenitor_region
CELL_0596,branch_a_terminal,branch_a,0.8616,2.8357,1.4268,upper_terminal_region
CELL_0865,branch_b_terminal,branch_b,0.9291,3.0621,-1.5909,lower_terminal_region
CELL_0190,root_progenitor,root,0.1994,0.1289,-0.1444,left_progenitor_region
CELL_0115,root_progenitor,root,0.0971,-0.0328,0.0872,left_progenitor_region
CELL_0557,branch_a_terminal,branch_a,0.7839,2.9484,1.2352,upper_terminal_region
CELL_0180,root_progenitor,root,0.184,-0.6025,-0.2891,left_progenitor_region
CELL_0301,transition_state,transition,0.3603,0.6142,0.1232,left_progenitor_region
CELL_0684,branch_b_terminal,branch_b,0.5291,1.7948,-0.8848,transition_ring_region
CELL_0643,branch_a_terminal,branch_a,0.9715,2.9868,1.2754,upper_terminal_region
CELL_0732,branch_b_terminal,branch_b,0.668,2.976,-0.706,lower_terminal_region
CELL_0620,branch_a_terminal,branch_a,0.9329,2.9414,1.6135,upper_terminal_region
CELL_0838,branch_b_terminal,branch_b,0.8825,2.7784,-1.5166,lower_terminal_region
CELL_0517,branch_a_terminal,branch_a,0.6953,2.2799,1.125,upper_terminal_region
CELL_0884,branch_b_terminal,branch_b,0.9848,3.1627,-1.6084,lower_terminal_region
CELL_0045,root_progenitor,root,0.0444,0.2944,0.1098,left_progenitor_region
CELL_0814,branch_b_terminal,branch_b,0.8102,2.9989,-1.3237,lower_terminal_region
CELL_0157,root_progenitor,root,0.1581,-0.3914,0.1594,left_progenitor_region
CELL_0670,branch_b_terminal,branch_b,0.5268,2.4048,-0.9514,lower_terminal_region
CELL_0171,root_progenitor,root,0.1629,0.0128,-0.1914,left_progenitor_region
CELL_0016,root_progenitor,root,0.0201,0.4322,-0.2467,left_progenitor_region
CELL_0511,branch_a_terminal,branch_a,0.6988,2.4298,1.2939,upper_terminal_region
CELL_0048,root_progenitor,root,0.054,0.0166,-0.1744,left_progenitor_region
CELL_0882,branch_b_terminal,branch_b,0.9658,3.0402,-1.4249,lower_terminal_region
CELL_0755,branch_b_terminal,branch_b,0.6795,2.3146,-0.704,lower_terminal_region
CELL_0515,branch_a_terminal,branch_a,0.7057,2.4457,0.7441,upper_terminal_region
CELL_0621,branch_a_terminal,branch_a,0.9096,3.1218,1.3384,upper_terminal_region
CELL_0480,branch_a_terminal,branch_a,0.6141,2.4665,0.9305,upper_terminal_region
CELL_0283,transition_state,transition,0.2884,0.1798,0.0662,left_progenitor_region
CELL_0593,branch_a_terminal,branch_a,0.8374,2.8488,1.0324,upper_terminal_region
CELL_0225,transition_state,transition,0.1832,0.325,-0.2016,left_progenitor_region
CELL_0026,root_progenitor,root,0.0317,-0.0243,0.5233,left_progenitor_region
CELL_0704,branch_b_terminal,branch_b,0.572,2.5167,-0.8058,lower_terminal_region
CELL_0437,branch_a_terminal,branch_a,0.5599,2.6335,0.6479,upper_terminal_region
CELL_0852,branch_b_terminal,branch_b,0.8972,3.2096,-1.5253,lower_terminal_region
CELL_0364,transition_state,transition,0.4726,0.8923,0.206,central_transition_region
CELL_0229,transition_state,transition,0.1774,0.2474,-0.0056,left_progenitor_region
CELL_0037,root_progenitor,root,0.0212,-0.0592,0.0441,left_progenitor_region
CELL_0866,branch_b_terminal,branch_b,0.9291,3.033,-1.3926,lower_terminal_region
CELL_0374,transition_state,transition,0.4614,0.618,-0.0727,left_progenitor_region
CELL_0469,branch_a_terminal,branch_a,0.5973,2.6296,0.6824,upper_terminal_region
CELL_0868,branch_b_terminal,branch_b,0.9653,3.0578,-1.4908,lower_terminal_region
CELL_0764,branch_b_terminal,branch_b,0.7329,2.609,-0.735,lower_terminal_region
CELL_0656,branch_a_terminal,branch_a,0.9986,3.2178,1.8372,upper_terminal_region
CELL_0194,root_progenitor,root,0.1606,-0.4214,0.1345,left_progenitor_region
CELL_0766,branch_b_terminal,branch_b,0.7203,2.3811,-1.06,lower_terminal_region
CELL_0825,branch_b_terminal,branch_b,0.8348,2.5007,-1.2738,lower_terminal_region
CELL_0503,branch_a_terminal,branch_a,0.6657,2.5094,0.999,upper_terminal_region
CELL_0870,branch_b_terminal,branch_b,0.9502,3.2082,-1.4429,lower_terminal_region
CELL_0864,branch_b_terminal,branch_b,0.9007,2.8181,-1.3595,lower_terminal_region
CELL_0579,branch_a_terminal,branch_a,0.8331,2.9295,1.1974,upper_terminal_region
CELL_0869,branch_b_terminal,branch_b,0.9455,3.2129,-1.5352,lower_terminal_region
CELL_0162,root_progenitor,root,0.1799,-0.0633,-0.0398,left_progenitor_region
CELL_0635,branch_a_terminal,branch_a,0.9473,2.7403,1.3403,upper_terminal_region
CELL_0152,root_progenitor,root,0.1137,0.351,-0.1106,left_progenitor_region
CELL_0616,branch_a_terminal,branch_a,0.9445,2.8506,0.9856,upper_terminal_region
CELL_0634,branch_a_terminal,branch_a,0.9448,3.2519,1.5637,upper_terminal_region
CELL_0680,branch_b_terminal,branch_b,0.5351,1.7017,-0.9595,transition_ring_region
CELL_0111,root_progenitor,root,0.1049,0.0905,0.3302,left_progenitor_region
CELL_0226,transition_state,transition,0.1863,0.4098,0.0126,left_progenitor_region
CELL_0622,branch_a_terminal,branch_a,0.9098,3.1254,1.1325,upper_terminal_region
CELL_0103,root_progenitor,root,0.1051,0.2009,0.4302,left_progenitor_region
CELL_0421,branch_a_terminal,branch_a,0.5036,2.3728,0.8214,upper_terminal_region
CELL_0419,transition_state,transition,0.56,1.1531,-0.0964,central_transition_region
CELL_0586,branch_a_terminal,branch_a,0.8596,2.6678,1.3724,upper_terminal_region
CELL_0119,root_progenitor,root,0.1051,0.0833,-0.0065,left_progenitor_region
CELL_0053,root_progenitor,root,0.0436,-0.393,-0.0167,left_progenitor_region
CELL_0151,root_progenitor,root,0.1224,0.3339,-0.0478,left_progenitor_region
CELL_0403,transition_state,transition,0.5205,0.9119,-0.1153,central_transition_region
CELL_0847,branch_b_terminal,branch_b,0.8656,2.5826,-1.4629,lower_terminal_region
CELL_0207,root_progenitor,root,0.1708,-0.0776,-0.0716,left_progenitor_region
CELL_0758,branch_b_terminal,branch_b,0.6727,2.3309,-1.1354,lower_terminal_region
CELL_0853,branch_b_terminal,branch_b,0.8855,2.7496,-1.3676,lower_terminal_region
CELL_0008,root_progenitor,root,0.0071,-0.5368,-0.0407,left_progenitor_region
CELL_0759,branch_b_terminal,branch_b,0.6934,2.6487,-1.5055,lower_terminal_region
CELL_0036,root_progenitor,root,0.0312,0.3679,-0.6417,left_progenitor_region
CELL_0452,branch_a_terminal,branch_a,0.561,2.0462,0.7146,transition_ring_region
CELL_0253,transition_state,transition,0.2243,0.3058,0.0828,left_progenitor_region
CELL_0303,transition_state,transition,0.3181,0.0847,0.0072,left_progenitor_region
CELL_0672,branch_b_terminal,branch_b,0.5286,2.2613,-0.917,lower_terminal_region
CELL_0571,branch_a_terminal,branch_a,0.8493,2.8077,1.1921,upper_terminal_region
CELL_0623,branch_a_terminal,branch_a,0.9316,3.056,1.4268,upper_terminal_region
CELL_0689,branch_b_terminal,branch_b,0.5701,2.1448,-1.2519,central_transition_region
CELL_0650,branch_a_terminal,branch_a,0.9719,3.1711,1.3298,upper_terminal_region
CELL_0262,transition_state,transition,0.2584,0.4397,-0.0711,left_progenitor_region
CELL_0610,branch_a_terminal,branch_a,0.8926,3.1087,1.6233,upper_terminal_region
CELL_0297,transition_state,transition,0.3475,0.3332,-0.2042,left_progenitor_region
CELL_0414,transition_state,transition,0.5454,0.7872,-0.3119,left_progenitor_region
CELL_0150,root_progenitor,root,0.1346,-0.2425,-0.2219,left_progenitor_region
CELL_0710,branch_b_terminal,branch_b,0.6242,2.4572,-0.6848,lower_terminal_region
CELL_0796,branch_b_terminal,branch_b,0.7855,2.8812,-1.3306,lower_terminal_region
CELL_0550,branch_a_terminal,branch_a,0.7619,2.4409,0.9873,upper_terminal_region
CELL_0488,branch_a_terminal,branch_a,0.6404,2.0558,1.1554,transition_ring_region
CELL_0147,root_progenitor,root,0.1321,0.1977,0.0862,left_progenitor_region
CELL_0146,root_progenitor,root,0.1242,0.0249,-0.0215,left_progenitor_region
CELL_0651,branch_a_terminal,branch_a,0.9829,3.1083,1.4272,upper_terminal_region
CELL_0833,branch_b_terminal,branch_b,0.8458,2.901,-1.1808,lower_terminal_region
CELL_0666,branch_b_terminal,branch_b,0.5155,1.8768,-0.4567,central_transition_region
CELL_0348,transition_state,transition,0.4089,0.8174,-0.0723,central_transition_region
CELL_0463,branch_a_terminal,branch_a,0.6013,1.8539,1.0905,transition_ring_region
CELL_0325,transition_state,transition,0.3579,0.5014,-0.2229,left_progenitor_region
CELL_0186,root_progenitor,root,0.1726,0.4553,-0.4129,left_progenitor_region
CELL_0123,root_progenitor,root,0.1327,-0.0733,0.4843,left_progenitor_region
CELL_0765,branch_b_terminal,branch_b,0.7313,2.3045,-0.8915,lower_terminal_region
CELL_0608,branch_a_terminal,branch_a,0.8887,3.1011,1.6948,upper_terminal_region
CELL_0143,root_progenitor,root,0.1346,0.6051,0.1087,left_progenitor_region
CELL_0859,branch_b_terminal,branch_b,0.9107,2.8493,-1.0346,lower_terminal_region
CELL_0197,root_progenitor,root,0.174,-0.2016,-0.3207,left_progenitor_region
CELL_0609,branch_a_terminal,branch_a,0.8865,3.2354,1.0045,upper_terminal_region
